# Time (s),Altitude (m),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Angle of attack (°),Mass (g),Motor mass (g),Drag force (N),Drag coefficient (​),Air temperature (°C),Air pressure (mbar),Mach number (​)
24.323,9903.486,246.811,14.36,312.19,0.211,312.19,0.006,4.67E+04,0,214.745,0.562,-53.448,243.622,0.826
24.373,9915.799,246.094,14.318,312.682,0.212,312.682,0.05,4.67E+04,0,212.922,0.562,-53.528,243.17,0.824
24.423,9928.076,245.379,14.279,313.174,0.213,313.174,0.074,4.67E+04,0,211.103,0.561,-53.608,242.718,0.821
24.473,9940.317,244.666,14.239,313.665,0.214,313.666,0.091,4.67E+04,0,209.3,0.56,-53.688,242.268,0.819
24.523,9952.523,243.955,14.201,314.156,0.214,314.156,0.102,4.67E+04,0,207.514,0.56,-53.767,241.819,0.817
24.573,9964.693,243.246,14.163,314.645,0.215,314.645,0.12,4.67E+04,0,205.751,0.559,-53.846,241.372,0.815
24.623,9976.828,242.539,14.125,315.133,0.216,315.133,0.119,4.67E+04,0,203.996,0.558,-53.925,240.925,0.813
24.673,9988.927,241.834,14.088,315.62,0.217,315.62,0.112,4.67E+04,0,202.258,0.557,-54.004,240.48,0.81
24.723,1.00E+04,241.13,14.052,316.106,0.218,316.106,0.084,4.67E+04,0,200.527,0.557,-54.082,240.037,0.808
24.773,1.00E+04,240.429,14.016,316.592,0.218,316.592,0.044,4.67E+04,0,198.809,0.556,-54.16,239.594,0.806
24.823,1.00E+04,239.729,13.981,317.076,0.219,317.076,0.024,4.67E+04,0,197.118,0.555,-54.238,239.153,0.804
24.873,1.00E+04,239.031,13.946,317.56,0.22,317.56,0.002,4.67E+04,0,195.44,0.555,-54.316,238.713,0.801
24.923,1.01E+04,238.335,13.911,318.043,0.221,318.043,0.019,4.67E+04,0,193.798,0.554,-54.393,238.275,0.799
24.973,1.01E+04,237.64,13.877,318.526,0.221,318.526,0.019,4.67E+04,0,192.203,0.554,-54.471,237.838,0.797
25.023,1.01E+04,236.948,13.843,319.008,0.222,319.009,0.022,4.67E+04,0,190.621,0.553,-54.548,237.402,0.795
25.073,1.01E+04,236.256,13.811,319.49,0.223,319.49,0.055,4.67E+04,0,189.04,0.552,-54.625,236.967,0.793
25.123,1.01E+04,235.567,13.778,319.972,0.224,319.972,0.073,4.67E+04,0,187.477,0.552,-54.701,236.534,0.79
25.173,1.01E+04,234.879,13.745,320.453,0.225,320.453,0.077,4.67E+04,0,185.93,0.551,-54.778,236.102,0.788
25.223,1.01E+04,234.193,13.713,320.933,0.225,320.933,0.091,4.67E+04,0,184.391,0.551,-54.854,235.671,0.786
25.273,1.01E+04,233.509,13.68,321.414,0.226,321.414,0.097,4.67E+04,0,182.865,0.55,-54.93,235.241,0.784
25.323,1.01E+04,232.826,13.648,321.894,0.227,321.894,0.09,4.67E+04,0,181.352,0.55,-55.005,234.813,0.782
25.373,1.02E+04,232.145,13.614,322.374,0.228,322.374,0.07,4.67E+04,0,179.854,0.549,-55.081,234.386,0.78
25.423,1.02E+04,231.465,13.581,322.853,0.229,322.853,0.044,4.67E+04,0,178.37,0.549,-55.156,233.96,0.777
25.473,1.02E+04,230.787,13.548,323.332,0.229,323.332,0.015,4.67E+04,0,176.898,0.548,-55.231,233.535,0.775
25.523,1.02E+04,230.111,13.516,323.811,0.23,323.811,0.007,4.67E+04,0,175.437,0.548,-55.306,233.112,0.773
25.573,1.02E+04,229.436,13.484,324.289,0.231,324.289,0.028,4.67E+04,0,173.989,0.547,-55.381,232.69,0.771
25.623,1.02E+04,228.763,13.453,324.766,0.232,324.766,0.051,4.67E+04,0,172.554,0.547,-55.455,232.269,0.769
25.673,1.02E+04,228.091,13.422,325.243,0.232,325.243,0.066,4.67E+04,0,171.13,0.546,-55.529,231.849,0.767
25.723,1.02E+04,227.421,13.391,325.719,0.233,325.719,0.066,4.67E+04,0,169.714,0.546,-55.603,231.431,0.764
25.773,1.03E+04,226.752,13.361,326.194,0.234,326.194,0.06,4.67E+04,0,168.307,0.545,-55.677,231.013,0.762
25.823,1.03E+04,226.085,13.331,326.669,0.235,326.669,0.072,4.67E+04,0,166.921,0.545,-55.75,230.597,0.76
25.873,1.03E+04,225.419,13.302,327.142,0.236,327.143,0.077,4.67E+04,0,165.546,0.544,-55.824,230.183,0.758
25.923,1.03E+04,224.755,13.272,327.616,0.236,327.616,0.075,4.67E+04,0,164.18,0.544,-55.897,229.769,0.756
25.973,1.03E+04,224.092,13.243,328.088,0.237,328.088,0.067,4.67E+04,0,162.825,0.543,-55.97,229.357,0.754
26.023,1.03E+04,223.431,13.216,328.56,0.238,328.56,0.034,4.67E+04,0,161.472,0.543,-56.042,228.946,0.752
26.073,1.03E+04,222.771,13.189,329.031,0.239,329.031,0.01,4.67E+04,0,160.132,0.542,-56.115,228.536,0.75
26.123,1.03E+04,222.113,13.163,329.501,0.24,329.501,0.063,4.67E+04,0,158.814,0.542,-56.187,228.127,0.747
26.173,1.03E+04,221.456,13.137,329.971,0.24,329.971,0.103,4.67E+04,0,157.512,0.541,-56.259,227.72,0.745
26.223,1.04E+04,220.8,13.11,330.441,0.241,330.441,0.119,4.67E+04,0,156.224,0.541,-56.331,227.314,0.743
26.273,1.04E+04,220.145,13.082,330.911,0.242,330.911,0.104,4.67E+04,0,154.95,0.54,-56.402,226.909,0.741
26.323,1.04E+04,219.493,13.052,331.381,0.243,331.381,0.056,4.67E+04,0,153.694,0.54,-56.474,226.505,0.739
26.373,1.04E+04,218.841,13.024,331.85,0.244,331.85,0.025,4.67E+04,0,152.419,0.539,-56.5,226.119,0.737
26.423,1.04E+04,218.191,12.996,332.319,0.244,332.319,0.01,4.67E+04,0,151.137,0.539,-56.5,225.745,0.735
26.473,1.04E+04,217.542,12.967,332.787,0.245,332.787,0.024,4.67E+04,0,149.873,0.539,-56.5,225.371,0.733
26.523,1.04E+04,216.894,12.94,333.255,0.246,333.255,0.017,4.67E+04,0,148.606,0.538,-56.5,224.999,0.73
26.573,1.04E+04,216.248,12.914,333.723,0.247,333.723,0.006,4.67E+04,0,147.349,0.538,-56.5,224.627,0.728
26.623,1.04E+04,215.604,12.887,334.189,0.248,334.19,0.025,4.67E+04,0,146.112,0.537,-56.5,224.257,0.726
26.673,1.04E+04,214.96,12.86,334.656,0.248,334.656,0.035,4.67E+04,0,144.884,0.537,-56.5,223.888,0.724
26.723,1.05E+04,214.318,12.834,335.121,0.249,335.122,0.035,4.67E+04,0,143.662,0.536,-56.5,223.52,0.722
26.773,1.05E+04,213.677,12.808,335.587,0.25,335.587,0.026,4.67E+04,0,142.449,0.536,-56.5,223.153,0.72
26.823,1.05E+04,213.038,12.783,336.051,0.251,336.051,0.018,4.67E+04,0,141.247,0.535,-56.5,222.787,0.717
26.873,1.05E+04,212.399,12.757,336.516,0.252,336.516,0.023,4.67E+04,0,140.059,0.535,-56.5,222.422,0.715
26.923,1.05E+04,211.762,12.731,336.979,0.252,336.979,0.056,4.67E+04,0,138.891,0.535,-56.5,222.059,0.713
26.973,1.05E+04,211.127,12.705,337.442,0.253,337.442,0.073,4.67E+04,0,137.728,0.534,-56.5,221.696,0.711
27.023,1.05E+04,210.492,12.681,337.905,0.254,337.905,0.042,4.67E+04,0,136.56,0.534,-56.5,221.335,0.709
27.073,1.05E+04,209.859,12.657,338.367,0.255,338.367,0.027,4.67E+04,0,135.408,0.533,-56.5,220.975,0.707
27.123,1.05E+04,209.227,12.632,338.828,0.256,338.828,0.044,4.67E+04,0,134.276,0.533,-56.5,220.615,0.705
27.173,1.06E+04,208.596,12.608,339.289,0.257,339.289,0.045,4.67E+04,0,133.148,0.532,-56.5,220.257,0.703
27.223,1.06E+04,207.967,12.584,339.749,0.257,339.749,0.046,4.67E+04,0,132.031,0.532,-56.5,219.9,0.7
27.273,1.06E+04,207.338,12.56,340.209,0.258,340.209,0.043,4.67E+04,0,130.927,0.532,-56.5,219.544,0.698
27.323,1.06E+04,206.711,12.537,340.668,0.259,340.668,0.033,4.67E+04,0,129.831,0.531,-56.5,219.189,0.696
27.373,1.06E+04,206.085,12.514,341.127,0.26,341.127,0.026,4.67E+04,0,128.746,0.531,-56.5,218.835,0.694
27.423,1.06E+04,205.46,12.492,341.585,0.261,341.585,0.004,4.67E+04,0,127.663,0.53,-56.5,218.482,0.692
27.473,1.06E+04,204.837,12.471,342.043,0.262,342.043,0.052,4.67E+04,0,126.585,0.53,-56.5,218.131,0.69
27.523,1.06E+04,204.214,12.449,342.5,0.262,342.501,0.085,4.67E+04,0,125.521,0.53,-56.5,217.78,0.688
27.573,1.06E+04,203.593,12.428,342.958,0.263,342.958,0.113,4.67E+04,0,124.465,0.529,-56.5,217.431,0.686
27.623,1.06E+04,202.972,12.405,343.415,0.264,343.415,0.113,4.67E+04,0,123.422,0.529,-56.5,217.082,0.684
27.673,1.07E+04,202.353,12.382,343.872,0.265,343.872,0.088,4.67E+04,0,122.39,0.528,-56.5,216.735,0.681
27.723,1.07E+04,201.735,12.359,344.328,0.266,344.328,0.071,4.67E+04,0,121.365,0.528,-56.5,216.388,0.679
27.773,1.07E+04,201.118,12.337,344.785,0.267,344.785,0.051,4.67E+04,0,120.348,0.528,-56.5,216.043,0.677
27.823,1.07E+04,200.502,12.314,345.241,0.267,345.241,0.039,4.67E+04,0,119.337,0.527,-56.5,215.699,0.675
27.873,1.07E+04,199.887,12.293,345.696,0.268,345.697,0.034,4.67E+04,0,118.333,0.527,-56.5,215.355,0.673
27.923,1.07E+04,199.273,12.271,346.152,0.269,346.152,0.035,4.67E+04,0,117.335,0.527,-56.5,215.013,0.671
27.973,1.07E+04,198.661,12.249,346.607,0.27,346.607,0.014,4.67E+04,0,116.349,0.526,-56.5,214.672,0.669
28.023,1.07E+04,198.049,12.227,347.062,0.271,347.062,0.038,4.67E+04,0,115.38,0.526,-56.5,214.332,0.667
28.073,1.07E+04,197.439,12.206,347.516,0.272,347.516,0.052,4.67E+04,0,114.41,0.525,-56.5,213.993,0.665
28.123,1.07E+04,196.829,12.185,347.969,0.272,347.97,0.053,4.67E+04,0,113.445,0.525,-56.5,213.655,0.663
28.173,1.08E+04,196.221,12.164,348.423,0.273,348.423,0.07,4.67E+04,0,112.493,0.525,-56.5,213.318,0.661
28.223,1.08E+04,195.613,12.144,348.875,0.274,348.875,0.066,4.67E+04,0,111.543,0.524,-56.5,212.982,0.659
28.273,1.08E+04,195.007,12.124,349.327,0.275,349.328,0.048,4.67E+04,0,110.597,0.524,-56.5,212.648,0.657
28.323,1.08E+04,194.401,12.104,349.779,0.276,349.779,0.047,4.67E+04,0,109.664,0.524,-56.5,212.314,0.655
28.373,1.08E+04,193.797,12.084,350.23,0.277,350.23,0.036,4.67E+04,0,108.736,0.523,-56.5,211.981,0.653
28.423,1.08E+04,193.194,12.066,350.681,0.277,350.681,0.007,4.67E+04,0,107.811,0.523,-56.5,211.649,0.651
28.473,1.08E+04,192.591,12.047,351.131,0.278,351.131,0.011,4.67E+04,0,106.899,0.523,-56.5,211.319,0.649
28.523,1.08E+04,191.99,12.028,351.581,0.279,351.581,0.024,4.67E+04,0,105.995,0.522,-56.5,210.989,0.647
28.573,1.08E+04,191.389,12.009,352.031,0.28,352.031,0.028,4.67E+04,0,105.1,0.522,-56.5,210.66,0.645
28.623,1.08E+04,190.79,11.99,352.48,0.281,352.48,0.031,4.67E+04,0,104.212,0.522,-56.5,210.333,0.643
28.673,1.09E+04,190.191,11.971,352.929,0.282,352.929,0.05,4.67E+04,0,103.327,0.521,-56.5,210.006,0.641
28.723,1.09E+04,189.593,11.953,353.377,0.282,353.378,0.068,4.67E+04,0,102.45,0.521,-56.5,209.681,0.639
28.773,1.09E+04,188.997,11.934,353.826,0.283,353.826,0.068,4.67E+04,0,101.582,0.521,-56.5,209.356,0.636
28.823,1.09E+04,188.401,11.914,354.274,0.284,354.274,0.013,4.67E+04,0,100.737,0.52,-56.5,209.045,0.635
28.873,1.09E+04,187.806,11.896,354.722,0.285,354.722,0.016,4.67E+04,0,99.9,0.52,-56.5,208.747,0.633
28.923,1.09E+04,187.212,11.878,355.169,0.286,355.17,0.012,4.67E+04,0,99.063,0.52,-56.5,208.45,0.631
28.973,1.09E+04,186.619,11.859,355.616,0.287,355.617,0.031,4.67E+04,0,98.237,0.519,-56.5,208.154,0.629
29.023,1.09E+04,186.027,11.841,356.063,0.288,356.063,0.046,4.67E+04,0,97.418,0.519,-56.5,207.859,0.627
29.073,1.09E+04,185.435,11.825,356.509,0.288,356.509,0.015,4.67E+04,0,96.594,0.519,-56.5,207.565,0.625
29.123,1.09E+04,184.845,11.808,356.955,0.289,356.955,0.003,4.67E+04,0,95.78,0.518,-56.5,207.271,0.623
29.173,1.09E+04,184.255,11.79,357.401,0.29,357.401,0.014,4.67E+04,0,94.979,0.518,-56.5,206.979,0.621
29.223,1.10E+04,183.667,11.773,357.846,0.291,357.846,0.012,4.67E+04,0,94.181,0.518,-56.5,206.687,0.619
29.273,1.10E+04,183.079,11.755,358.29,0.292,358.291,0.047,4.67E+04,0,93.397,0.517,-56.5,206.397,0.617
29.323,1.10E+04,182.492,11.738,358.735,0.293,358.735,0.067,4.67E+04,0,92.617,0.517,-56.5,206.107,0.615
29.373,1.10E+04,181.906,11.721,359.179,0.294,359.179,0.071,4.67E+04,0,91.839,0.517,-56.5,205.819,0.613
29.423,1.10E+04,181.32,11.704,359.622,0.294,359.622,0.085,4.67E+04,0,91.071,0.516,-56.5,205.531,0.611
29.473,1.10E+04,180.736,11.688,360.065,0.295,360.065,0.074,4.67E+04,0,90.302,0.516,-56.5,205.244,0.609
29.523,1.10E+04,180.152,11.672,360.507,0.296,360.508,0.077,4.67E+04,0,89.544,0.516,-56.5,204.958,0.607
29.573,1.10E+04,179.569,11.655,360.949,0.297,360.95,0.113,4.67E+04,0,88.8,0.515,-56.5,204.674,0.605
29.623,1.10E+04,178.987,11.638,361.391,0.298,361.391,0.126,4.67E+04,0,88.057,0.515,-56.5,204.39,0.603
29.673,1.10E+04,178.406,11.623,361.832,0.299,361.832,0.094,4.67E+04,0,87.308,0.515,-56.5,204.106,0.601
29.723,1.10E+04,177.826,11.607,362.272,0.3,362.272,0.1,4.67E+04,0,86.576,0.514,-56.5,203.824,0.599
29.773,1.11E+04,177.246,11.591,362.712,0.301,362.712,0.105,4.67E+04,0,85.85,0.514,-56.5,203.543,0.597
29.823,1.11E+04,176.667,11.577,363.152,0.301,363.152,0.055,4.67E+04,0,85.117,0.514,-56.5,203.263,0.595
29.873,1.11E+04,176.089,11.563,363.591,0.302,363.591,0.008,4.67E+04,0,84.392,0.514,-56.5,202.983,0.593
29.923,1.11E+04,175.512,11.549,364.029,0.303,364.029,0.038,4.67E+04,0,83.673,0.513,-56.5,202.705,0.591
29.973,1.11E+04,174.935,11.535,364.468,0.304,364.468,0.07,4.67E+04,0,82.963,0.513,-56.5,202.427,0.589
30.023,1.11E+04,174.359,11.52,364.906,0.305,364.906,0.092,4.67E+04,0,82.26,0.513,-56.5,202.151,0.587
30.073,1.11E+04,173.784,11.506,365.344,0.306,365.344,0.112,4.67E+04,0,81.562,0.512,-56.5,201.875,0.585
30.123,1.11E+04,173.21,11.492,365.782,0.307,365.782,0.128,4.67E+04,0,80.869,0.512,-56.5,201.6,0.583
30.173,1.11E+04,172.636,11.478,366.219,0.307,366.219,0.167,4.67E+04,0,80.178,0.512,-56.5,201.326,0.582
30.223,1.11E+04,172.063,11.465,366.657,0.308,366.657,0.199,4.67E+04,0,79.493,0.512,-56.5,201.053,0.58
30.273,1.11E+04,171.491,11.45,367.094,0.309,367.095,0.197,4.67E+04,0,78.815,0.511,-56.5,200.781,0.578
30.323,1.12E+04,170.92,11.435,367.532,0.31,367.532,0.168,4.67E+04,0,78.143,0.511,-56.5,200.51,0.576
30.373,1.12E+04,170.349,11.419,367.969,0.311,367.969,0.146,4.67E+04,0,77.476,0.511,-56.5,200.24,0.574
30.423,1.12E+04,169.779,11.405,368.407,0.312,368.407,0.148,4.67E+04,0,76.81,0.51,-56.5,199.97,0.572
30.473,1.12E+04,169.21,11.391,368.844,0.313,368.844,0.148,4.67E+04,0,76.149,0.51,-56.5,199.702,0.57
30.523,1.12E+04,168.641,11.377,369.281,0.314,369.281,0.139,4.67E+04,0,75.493,0.51,-56.5,199.434,0.568
30.573,1.12E+04,168.073,11.362,369.718,0.314,369.718,0.134,4.67E+04,0,74.84,0.51,-56.5,199.168,0.566
30.623,1.12E+04,167.506,11.348,370.155,0.315,370.155,0.107,4.67E+04,0,74.195,0.509,-56.5,198.902,0.564
30.673,1.12E+04,166.94,11.332,370.591,0.316,370.592,0.053,4.67E+04,0,73.558,0.509,-56.5,198.637,0.562
30.723,1.12E+04,166.374,11.317,371.028,0.317,371.028,0.006,4.67E+04,0,72.926,0.509,-56.5,198.373,0.56
30.773,1.12E+04,165.809,11.304,371.464,0.318,371.464,0.006,4.67E+04,0,72.292,0.508,-56.5,198.11,0.559
30.823,1.12E+04,165.245,11.29,371.9,0.319,371.9,0.01,4.67E+04,0,71.661,0.508,-56.5,197.848,0.557
30.873,1.12E+04,164.681,11.276,372.335,0.32,372.335,0.006,4.67E+04,0,71.038,0.508,-56.5,197.587,0.555
30.923,1.13E+04,164.118,11.262,372.771,0.321,372.771,0.046,4.67E+04,0,70.425,0.508,-56.5,197.326,0.553
30.973,1.13E+04,163.556,11.248,373.206,0.322,373.206,0.117,4.67E+04,0,69.824,0.507,-56.5,197.067,0.551
31.023,1.13E+04,162.994,11.233,373.64,0.323,373.64,0.173,4.67E+04,0,69.226,0.507,-56.5,196.808,0.549
31.073,1.13E+04,162.433,11.22,374.074,0.323,374.074,0.202,4.67E+04,0,68.628,0.507,-56.5,196.55,0.547
31.123,1.13E+04,161.873,11.207,374.507,0.324,374.508,0.216,4.67E+04,0,68.032,0.507,-56.5,196.294,0.545
31.173,1.13E+04,161.313,11.194,374.94,0.325,374.94,0.211,4.67E+04,0,67.436,0.506,-56.5,196.038,0.543
31.223,1.13E+04,160.754,11.182,375.373,0.326,375.373,0.198,4.67E+04,0,66.844,0.506,-56.5,195.783,0.542
31.273,1.13E+04,160.195,11.169,375.804,0.327,375.804,0.204,4.67E+04,0,66.261,0.506,-56.5,195.528,0.54
31.323,1.13E+04,159.638,11.157,376.236,0.328,376.236,0.197,4.67E+04,0,65.681,0.505,-56.5,195.275,0.538
31.373,1.13E+04,159.08,11.144,376.666,0.329,376.666,0.218,4.67E+04,0,65.112,0.505,-56.5,195.023,0.536
31.423,1.13E+04,158.524,11.132,377.097,0.33,377.097,0.23,4.67E+04,0,64.547,0.505,-56.5,194.771,0.534
31.473,1.13E+04,157.968,11.121,377.526,0.331,377.526,0.187,4.67E+04,0,63.973,0.505,-56.5,194.521,0.532
31.523,1.13E+04,157.413,11.109,377.955,0.332,377.955,0.15,4.67E+04,0,63.406,0.504,-56.5,194.271,0.53
31.573,1.14E+04,156.858,11.098,378.384,0.333,378.384,0.117,4.67E+04,0,62.845,0.504,-56.5,194.022,0.528
31.623,1.14E+04,156.304,11.086,378.812,0.333,378.813,0.096,4.67E+04,0,62.292,0.504,-56.5,193.774,0.527
31.673,1.14E+04,155.75,11.075,379.24,0.334,379.24,0.104,4.67E+04,0,61.748,0.504,-56.5,193.527,0.525
31.723,1.14E+04,155.197,11.063,379.668,0.335,379.668,0.111,4.67E+04,0,61.211,0.503,-56.5,193.285,0.523
31.773,1.14E+04,154.645,11.052,380.095,0.336,380.095,0.085,4.67E+04,0,60.675,0.503,-56.5,193.058,0.521
31.823,1.14E+04,154.093,11.041,380.522,0.337,380.522,0.044,4.67E+04,0,60.142,0.503,-56.5,192.832,0.519
31.873,1.14E+04,153.542,11.031,380.948,0.338,380.948,0.028,4.67E+04,0,59.617,0.503,-56.5,192.607,0.517
31.923,1.14E+04,152.991,11.02,381.374,0.339,381.374,0.002,4.67E+04,0,59.094,0.502,-56.5,192.383,0.515
31.973,1.14E+04,152.441,11.009,381.8,0.34,381.8,0.02,4.67E+04,0,58.577,0.502,-56.5,192.159,0.514
32.023,1.14E+04,151.891,11,382.226,0.341,382.226,0.066,4.67E+04,0,58.059,0.502,-56.5,191.937,0.512
32.073,1.14E+04,151.342,10.99,382.651,0.342,382.651,0.103,4.67E+04,0,57.547,0.502,-56.5,191.715,0.51
32.123,1.14E+04,150.794,10.98,383.076,0.343,383.077,0.132,4.67E+04,0,57.04,0.501,-56.5,191.494,0.508
32.173,1.14E+04,150.246,10.97,383.502,0.343,383.502,0.181,4.67E+04,0,56.534,0.501,-56.5,191.273,0.506
32.223,1.15E+04,149.698,10.96,383.927,0.344,383.927,0.188,4.67E+04,0,56.036,0.501,-56.5,191.054,0.504
32.273,1.15E+04,149.151,10.949,384.352,0.345,384.352,0.198,4.67E+04,0,55.54,0.501,-56.5,190.835,0.503
32.323,1.15E+04,148.605,10.938,384.776,0.346,384.777,0.178,4.67E+04,0,55.049,0.5,-56.5,190.617,0.501
32.373,1.15E+04,148.059,10.927,385.201,0.347,385.201,0.163,4.67E+04,0,54.562,0.5,-56.5,190.4,0.499
32.423,1.15E+04,147.514,10.919,385.626,0.348,385.626,0.224,4.67E+04,0,54.071,0.5,-56.5,190.184,0.497
32.473,1.15E+04,146.969,10.909,386.051,0.349,386.051,0.252,4.67E+04,0,53.586,0.5,-56.5,189.969,0.495
32.523,1.15E+04,146.425,10.898,386.475,0.35,386.476,0.226,4.67E+04,0,53.107,0.5,-56.5,189.754,0.493
32.573,1.15E+04,145.881,10.886,386.9,0.351,386.9,0.179,4.67E+04,0,52.633,0.499,-56.5,189.54,0.492
32.623,1.15E+04,145.338,10.875,387.325,0.352,387.325,0.156,4.67E+04,0,52.161,0.499,-56.5,189.327,0.49
32.673,1.15E+04,144.795,10.866,387.749,0.353,387.749,0.18,4.67E+04,0,51.687,0.499,-56.5,189.115,0.488
32.723,1.15E+04,144.253,10.856,388.173,0.354,388.174,0.186,4.67E+04,0,51.218,0.499,-56.5,188.903,0.486
32.773,1.15E+04,143.711,10.845,388.598,0.355,388.598,0.167,4.67E+04,0,50.754,0.498,-56.5,188.693,0.484
32.823,1.15E+04,143.17,10.835,389.022,0.356,389.022,0.149,4.67E+04,0,50.292,0.498,-56.5,188.483,0.482
32.873,1.16E+04,142.629,10.824,389.446,0.357,389.446,0.112,4.67E+04,0,49.836,0.498,-56.5,188.274,0.481
32.923,1.16E+04,142.089,10.814,389.87,0.357,389.87,0.092,4.67E+04,0,49.382,0.498,-56.5,188.065,0.479
32.973,1.16E+04,141.549,10.804,390.294,0.358,390.294,0.094,4.67E+04,0,48.928,0.497,-56.5,187.858,0.477
33.023,1.16E+04,141.01,10.794,390.717,0.359,390.717,0.069,4.67E+04,0,48.48,0.497,-56.5,187.651,0.475
33.073,1.16E+04,140.472,10.784,391.141,0.36,391.141,0.051,4.67E+04,0,48.035,0.497,-56.5,187.445,0.473
33.123,1.16E+04,139.933,10.774,391.564,0.361,391.564,0.053,4.67E+04,0,47.59,0.497,-56.5,187.24,0.472
33.173,1.16E+04,139.396,10.764,391.987,0.362,391.987,0.022,4.67E+04,0,47.153,0.497,-56.5,187.036,0.47
33.223,1.16E+04,138.858,10.754,392.41,0.363,392.41,0.027,4.67E+04,0,46.721,0.496,-56.5,186.832,0.468
33.273,1.16E+04,138.322,10.743,392.832,0.364,392.832,0.101,4.67E+04,0,46.298,0.496,-56.5,186.629,0.466
33.323,1.16E+04,137.785,10.733,393.255,0.365,393.255,0.139,4.67E+04,0,45.873,0.496,-56.5,186.427,0.464
33.373,1.16E+04,137.25,10.724,393.676,0.366,393.677,0.157,4.67E+04,0,45.448,0.496,-56.5,186.226,0.463
33.423,1.16E+04,136.714,10.714,394.098,0.367,394.098,0.184,4.67E+04,0,45.028,0.495,-56.5,186.026,0.461
33.473,1.16E+04,136.179,10.704,394.519,0.368,394.519,0.223,4.67E+04,0,44.614,0.495,-56.5,185.826,0.459
33.523,1.16E+04,135.645,10.696,394.94,0.369,394.94,0.218,4.67E+04,0,44.196,0.495,-56.5,185.627,0.457
33.573,1.16E+04,135.111,10.687,395.36,0.37,395.36,0.197,4.67E+04,0,43.778,0.495,-56.5,185.429,0.455
33.623,1.17E+04,134.578,10.679,395.78,0.371,395.78,0.185,4.67E+04,0,43.365,0.495,-56.5,185.232,0.454
33.673,1.17E+04,134.044,10.67,396.2,0.372,396.2,0.15,4.67E+04,0,42.952,0.494,-56.5,185.035,0.452
33.723,1.17E+04,133.512,10.662,396.619,0.373,396.619,0.137,4.67E+04,0,42.546,0.494,-56.5,184.84,0.45
33.773,1.17E+04,132.98,10.653,397.038,0.374,397.038,0.146,4.67E+04,0,42.147,0.494,-56.5,184.645,0.448
33.823,1.17E+04,132.448,10.644,397.456,0.375,397.457,0.167,4.67E+04,0,41.753,0.494,-56.5,184.451,0.446
33.873,1.17E+04,131.917,10.636,397.875,0.376,397.875,0.161,4.67E+04,0,41.358,0.494,-56.5,184.257,0.445
33.923,1.17E+04,131.386,10.628,398.292,0.377,398.293,0.135,4.67E+04,0,40.962,0.493,-56.5,184.065,0.443
33.973,1.17E+04,130.855,10.62,398.71,0.377,398.71,0.115,4.67E+04,0,40.571,0.493,-56.5,183.873,0.441
34.023,1.17E+04,130.325,10.612,399.127,0.378,399.127,0.138,4.67E+04,0,40.19,0.493,-56.5,183.682,0.439
34.073,1.17E+04,129.795,10.602,399.544,0.379,399.544,0.187,4.67E+04,0,39.815,0.493,-56.5,183.492,0.437
34.123,1.17E+04,129.266,10.594,399.961,0.38,399.961,0.183,4.67E+04,0,39.436,0.493,-56.5,183.302,0.436
34.173,1.17E+04,128.737,10.586,400.377,0.381,400.377,0.203,4.67E+04,0,39.063,0.492,-56.5,183.114,0.434
34.223,1.17E+04,128.209,10.578,400.793,0.382,400.793,0.206,4.67E+04,0,38.691,0.492,-56.5,182.926,0.432
34.273,1.17E+04,127.681,10.57,401.209,0.383,401.209,0.176,4.67E+04,0,38.317,0.492,-56.5,182.738,0.43
34.323,1.17E+04,127.153,10.563,401.624,0.384,401.624,0.155,4.67E+04,0,37.947,0.492,-56.5,182.552,0.429
34.373,1.18E+04,126.626,10.556,402.039,0.385,402.039,0.128,4.67E+04,0,37.579,0.492,-56.5,182.366,0.427
34.423,1.18E+04,126.099,10.549,402.453,0.386,402.453,0.054,4.67E+04,0,37.208,0.491,-56.5,182.182,0.425
34.473,1.18E+04,125.573,10.542,402.868,0.387,402.868,0.008,4.67E+04,0,36.844,0.491,-56.5,181.998,0.423
34.523,1.18E+04,125.047,10.535,403.282,0.388,403.282,0.015,4.67E+04,0,36.486,0.491,-56.5,181.814,0.421
34.573,1.18E+04,124.521,10.529,403.696,0.389,403.696,0.075,4.67E+04,0,36.127,0.491,-56.5,181.632,0.42
34.623,1.18E+04,123.996,10.521,404.109,0.39,404.11,0.095,4.67E+04,0,35.774,0.491,-56.5,181.45,0.418
34.673,1.18E+04,123.471,10.514,404.523,0.391,404.523,0.089,4.67E+04,0,35.427,0.49,-56.5,181.269,0.416
34.723,1.18E+04,122.947,10.508,404.937,0.392,404.937,0.147,4.67E+04,0,35.076,0.49,-56.5,181.089,0.414
34.773,1.18E+04,122.423,10.501,405.35,0.393,405.35,0.196,4.67E+04,0,34.729,0.49,-56.5,180.91,0.413
34.823,1.18E+04,121.899,10.494,405.763,0.394,405.764,0.213,4.67E+04,0,34.386,0.49,-56.5,180.731,0.411
34.873,1.18E+04,121.375,10.488,406.177,0.395,406.177,0.26,4.67E+04,0,34.045,0.49,-56.5,180.553,0.409
34.923,1.18E+04,120.852,10.48,406.59,0.396,406.59,0.254,4.67E+04,0,33.708,0.49,-56.5,180.376,0.407
